Descripció,Norm,Art,Ap,Sub,Nº,Imp. mín.,Imp. màx.,Import,Bo,Ex,Punts,Esp.,Seq.
"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES AMB MMA SUPERIOR A 3.500 KGS. AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,15  FINS 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,4,500,"1.000,00",500,L,N,4,8,5655
"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE VIATGERS DE MÉS DE NOU PLACES, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE",RGC,20,1,,5,500,"1.000,00",500,L,N,4,8,5656
"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE VIATGERS DE MÉS DE NOU PLACES, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPE RIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,6,500,"1.000,00",500,L,N,4,8,5657
"CONDUIR UN VEHICLE DE SERVEI PÚBLIC AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE ",RGC,20,1,,7,500,"1.000,00",500,L,N,4,8,5658
"CONDUIR UN VEHICLE DE SERVEI PÚBLIC AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,8,500,"1.000,00",500,L,N,4,8,5659
"CONDUIR UN VEHICLE DESTINAT AL TRANSPORT ESCOLAR O DE ME NORS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE",RGC,20,1,,9,500,"1.000,00",500,L,N,4,8,5660
"CONDUIR UN VEHICLE DESTINAT AL TRANSPORT ESCOLAR O DE ME NORS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,10,500,"1.000,00",500,L,N,4,8,5661
"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES PE RILLOSES, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE",RGC,20,1,,11,500,"1.000,00",500,L,N,4,8,5662
"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES PE RILLOSES, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,12,500,"1.000,00",500,L,N,4,8,5663
"CONDUIR UN VEHICLE DE SERVEI D'URGÈNCIA AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE ",RGC,20,1,,13,500,"1.000,00",500,L,N,4,8,5664
"CONDUIR UN VEHICLE DE SERVEI D'URGÈNCIA AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,15 FINS 0,30 MIL.LI GRAMS PER LITRE",RGC,20,1,,14,500,"1.000,00",500,L,N,4,8,5665
"CONDUIR UN VEHICLE DESTINAT A TRANSPORTS ESPECIALS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE",RGC,20,1,,15,500,"1.000,00",500,L,N,4,8,5666
"CONDUIR UN VEHICLE DESTINAT A TRANSPORTS ESPECIALS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,16,500,"1.000,00",500,L,N,4,8,5667
"CONDUIR UN VEHICLE AMB UN PERMÍS DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPE RIOR A 0,3 FINS 0,6 GRAMS PER LITRE",RGC,20,1,,17,500,"1.000,00",500,L,N,4,8,5668
"CONDUIR UN VEHICLE AMB UN PERMÍS DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPI RAT SUPERIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,18,500,"1.000,00",500,L,N,4,8,5669
"CONDUIR UN VEHICLE AMB LLICÈNCIA DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPE RIOR A 0,3 FINS 0,6 GRAMS PER LITRE",RGC,20,1,,19,500,"1.000,00",500,L,N,4,8,5670
"CONDUIR UN VEHICLE AMB LLICÈNCIA DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPI RAT SUPERIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,20,500,"1.000,00",500,L,N,4,8,5671
CONDUIR UN VEHICLE AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 1 GRAM PER LITRE ,RGC,20,1,,21,"1.000,00","1.000,00","1.000,00",L,N,6,9,6069
"CONDUIR UN VEHICLE AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,50 MIL.LIGRAMS PER LITRE ",RGC,20,1,,22,"1.000,00","1.000,00","1.000,00",L,N,6,9,6070
"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES AMB MMA SUPERIOR A 3.500 KGS. AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE",RGC,20,1,,23,"1.000,00","1.000,00","1.000,00",L,N,6,9,6071
"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES AMB MMA SUPERIOR A 3.500 KGS. AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,24,"1.000,00","1.000,00","1.000,00",L,N,6,9,6072
"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE VIATGERS DE MÉS DE NOU PLACES, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE",RGC,20,1,,25,"1.000,00","1.000,00","1.000,00",L,N,6,9,6073
"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE VIATGERS DE MÉS DE NOU PLACES, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPE RIOR A 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,26,"1.000,00","1.000,00","1.000,00",L,N,6,9,6074
"CONDUIR UN VEHICLE DE SERVEI PÚBLIC AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE ",RGC,20,1,,27,"1.000,00","1.000,00","1.000,00",L,N,6,9,6075
"CONDUIR UN VEHICLE DE SERVEI PÚBLIC AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE ",RGC,20,1,,28,"1.000,00","1.000,00","1.000,00",L,N,6,9,6076
"CONDUIR UN VEHICLE DESTINAT AL TRANSPORT ESCOLAR O DE ME NORS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE",RGC,20,1,,29,"1.000,00","1.000,00","1.000,00",L,N,6,9,6077
"CONDUIR UN VEHICLE DESTINAT AL TRANSPORT ESCOLAR O DE ME NORS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0.30 MIL.LIGRAMS PER LITRE",RGC,20,1,,30,"1.000,00","1.000,00","1.000,00",L,N,6,9,6078
"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES PE RILLOSES, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE",RGC,20,1,,31,"1.000,00","1.000,00","1.000,00",L,N,6,9,6079
"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES PE RILLOSES, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,32,"1.000,00","1.000,00","1.000,00",L,N,6,9,6080
"CONDUIR UN VEHICLE DE SERVEI D'URGÈNCIA AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE ",RGC,20,1,,33,"1.000,00","1.000,00","1.000,00",L,N,6,9,6081
"CONDUIR UN VEHICLE DE SERVEI D'URGÈNCIA AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,34,"1.000,00","1.000,00","1.000,00",L,N,6,9,6082
"CONDUIR UN VEHICLE DESTINAT A TRANSPORTS ESPECIALS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE",RGC,20,1,,35,"1.000,00","1.000,00","1.000,00",L,N,6,9,6083
"CONDUIR UN VEHICLE DESTINAT A TRANSPORTS ESPECIALS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,36,"1.000,00","1.000,00","1.000,00",L,N,6,9,6084
"CONDUIR UN VEHICLE AMB UN PERMÍS DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPE RIOR A 0,6 GRAMS PER LITRE",RGC,20,1,,37,"1.000,00","1.000,00","1.000,00",L,N,6,9,6085
"CONDUIR UN VEHICLE AMB UN PERMÍS DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPI RAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,38,"1.000,00","1.000,00","1.000,00",L,N,6,9,6086
"CONDUIR UN VEHICLE AMB LLICÈNCIA DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPE RIOR A 0,6 GRAMS PER LITRE",RGC,20,1,,39,"1.000,00","1.000,00","1.000,00",L,N,6,9,6087
"CONDUIR UN VEHICLE AMB LLICÈNCIA DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPI RAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE",RGC,20,1,,40,"1.000,00","1.000,00","1.000,00",L,N,6,9,6088
"INCOMPLIR L'OBLIGACIO, LA PERSONA CONDUCTORA DEL VEHICLE, DE SOTMETRE'S A LES PROVES PER A LA DETECCIO D'ALCOHOL EN L'ORGANISME",RGC,21,1,,6,"1.000,00","1.000,00","1.000,00",L,N,6,9,16177
"INCOMPLIR L'OBLIGACIO, LA PERSONA IMPLICADA EN UN ACCIDENT DE TRANSIT, DE SOTMETRE'S A LES PROVES DE DETECCIO D'ALCOHOL EN L'ORGANISME",RGC,21,1,,8,"1.000,00","1.000,00","1.000,00",L,N,6,9,16179
"INCOMPLIR L'OBLIGACIO, LA PERSONA QUE HA COMES UNA INFRACCIO, DE SOTMETRE'S A LES PROVES DE DETECCIO D'ALCOHOL EN L'ORGANISME",RGC,21,1,,10,"1.000,00","1.000,00","1.000,00",L,N,0,9,16181
"INCOMPLIR L'OBLIGACIO, LA PERSONA CONDUCTORA D'UNA BICICLETA, DE SOTMETRE'S A LES PROVES PER A LA DETECCIO D'ALCOHOL EN L'ORGANISME",RGC,21,1,,12,"1.000,00","1.000,00","1.000,00",L,N,0,9,18553
"INCOMPLIR L'OBLIGACIO, LA PERSONA CONDUCTORA D'UN VMP, DE SOTMETRE'S A LES PROVES PER A LA DETECCIO D'ALCOHOL EN L'ORGANISME",RGC,21,1,,13,"1.000,00","1.000,00","1.000,00",L,N,0,9,19624
"CIRCULAR PER UNA VIA DE DOBLE SENTIT DE CIRCULACIÓ, EN UN RE VOLT DE VISIBILITAT REDUÏDA, SENSE DEIXAR COMPLETAMENT LLIU RE LA MEITAT DE LA CALÇADA CORRESPONENT AL SENTIT CONTRARI",RGC,29,1,,2,200,200,200,L,N,0,,5586
"CIRCULAR PER UNA VIA DE DOBLE SENTIT, EN UN CANVI DE RASANT DE VISIBILITAT REDUÏDA, SENSE DEIXAR COMPLETAMENT LLIURE LA MEITAT DE LA CALÇADA QUE CORRESPON AL SENTIT CONTRARI",RGC,29,1,,3,200,200,200,L,N,0,,5587
"CIRCULAR PER UNA VIA DE DOBLE SENTIT DE LA CIRCULACIÓ, SENSE ACOSTAR-SE TANT COM SIGUI POSSIBLE AL COSTAT DRET DE LA CAL ÇADA, PER PERMETRE CREUAR AMB SEGURETAT UN ALTRE VEHICLE",RGC,29,1,,7,200,200,200,L,N,0,,13628
"CIRCULAR PER L'ESQUERRA, EN SENTIT CONTRARI A L'ESTIPULAT, EN UNA VIA DE DOBLE SENTIT DE LA CIRCULACIÓ ",RGC,29,2,,1,500,500,500,L,N,6,,13624
"CIRCULAR PER L'ESQUERRA, EN SENTIT CONTRARI A L'ESTIPULAT, EN UNA VIA DE DOBLE SENTIT DE LA CIRCULACIÓ, EN UN REVOLT DE VISIBILITAT REDUÏDA",RGC,29,2,,2,500,500,500,L,N,6,,13625
"CIRCULAR PER L'ESQUERRA, EN SENTIT CONTRARI A L'ESTABLERT, EN UNA VIA DE DOBLE SENTIT DE LA CIRCULACIÓ, EN UN CANVI DE RASANT DE VISIBILITAT REDUÏDA",RGC,29,2,,3,500,500,500,L,N,6,,13626
"CIRCULAR PEL VORAL SENSE CAUSA O RAÓ D'EMERGÈNCIA, AMB UN VEHICLE AUTOMÒBIL ",RGC,30,1,,2,200,200,200,L,N,0,,13630
"CIRCULAR PEL CARRIL DE L'ESQUERRA, EN SENTIT CONTRARI A L'ESTIPULAT, EN UNA CALÇADA AMB DOBLE SENTIT DE CIRCULACIÓ I DOS CARRILS SEPARATS O NO PER MARQUES VIÀRIES",RGC,30,1,A,2,500,500,500,L,N,6,,14212
"CIRCULAR PEL CARRIL DE L'ESQUERRA, EN SENTIT CONTRARI A L'ESTIPULAT, EN UNA CALÇADA AMB DOBLE SENTIT DE CIRCULACIÓ I TRES CARRILS SEPARATS PER MARQUES LONGITUDINALS DISCONTINUES",RGC,30,1,B,2,500,500,500,L,N,6,,14213
"CIRCULAR AMB VEHICLE, EN POBLAT, PER UNA CALÇADA AMB ALMENYS DOS CARRILS PER AL MATEIX SENTIT, DELIMITATS AMB MARQUES LON GITUDINALS, DESPLAÇANT-SE DE CARRIL SENSE MOTIU JUSTIFICAT",RGC,33,,,2,200,200,200,L,N,0,,14757
"CIRCULAR PER LA CALÇADA AMB UN CICLOMOTOR, OCUPANT MÉS CALÇADA QUE NO CAL, QUAN EL VORAL NO ÉS TRANSITABLE ",RGC,36,1,,2,200,200,200,L,N,0,,14758
"NO CIRCULAR, EL CONDUCTOR D'UN CICLE, PEL VORAL TRANSITABLE DE LA SEVA DRETA, O CIRCULAR OCUPANT MÉS CALÇADA DE LA QUE ÉS IMPRESCINDIBLE, QUAN EL VORAL ÉS INTRANSITABLE",RGC,36,1,,3,200,200,200,L,N,0,,20400
CIRCULAR PEL VORAL EN POSICIÓ PARAL.LELA A UN ALTRE VEHICLE TENINT TOTS DOS VEHICLES PROHIBIDA AQUESTA FORMA DE CIRCU LAR.,RGC,36,2,,6,200,200,200,L,N,0,,13633
"CIRCULAR PEL VORAL, EL CONDUCTOR D'UNA BICICLETA, EN POSICIÓ PARAL.LELA A UNA ALTRA BICICLETA EN UN TRAM SENSE VISIBILI TAT.",RGC,36,2,,7,200,200,200,L,N,0,,13634
"CIRCULAR PEL VORAL, EL CONDUCTOR D'UNA BICICLETA, EN POSICIÓ PARAL.LELA A UNA ALTRA BICICLETA QUAN FORMEN AGLOMERA CIONS DE TRÀNSIT.",RGC,36,2,,8,200,200,200,L,N,0,,13635
"CIRCULAR, EL CONDUCTOR D'UN CICLOMOTOR, EN POSICIÓ PARAL.LE LA A UN ALTRE CICLOMOTOR, ENVAINT LA CALÇADA DE LA VIA, QUAN EL VORAL ÉS TRANSITABLE I SUFICIENT.",RGC,36,2,,9,200,200,200,L,N,0,,13636
"CIRCULAR EN POSICIÓ PARAL.LELA AMB ALTRE VEHICLE AL REALITZAR UN AVANÇAMENT, EXCEDINT EN LA SEVA DURACIÓ ELS 15 SEGONS O EFECTUANT UN RECORREGUT SUPERIOR A 200 METRES",RGC,36,3,,1,200,200,200,L,N,0,,19511
CIRCULAR PER UNA VIA EN SENTIT CONTRARI A L'ORDENAT PER L'AUTORITAT COMPETENT PER RAONS DE FLUÏDESA O SEGURETAT DEL TRÀNSIT,RGC,37,1,,1,500,500,500,L,N,6,,5818
"CIRCULAR PER UNA VIA SUBJETA A RESTRICCIONS DE CIRCULACIÓ PER RAONS DE SEGURETAT O FLUÏDESA DEL TRÀNSIT, SENSE LA CORRESPONENT AUTORITZACIÓ",RGC,37,1,,2,500,500,500,L,N,0,,24471
CIRCULAR PER UNA VIA CONTRAVENINT LA RESTRICCIÓ O LIMITACIÓ DE CIRCULACIÓ DE DETERMINATS VEHICLES ORDENADA PER L'AUTORI TAT PER EVITAR L'ENTORPIMENT D'AQUELLA,RGC,37,2,,1,6,100,90,L,N,0,,16417
CIRCULAR AMB UN VMP (VEHICLE DE MOBILITAT PERSONAL) EN UNA TRAVESSIA TITULARITAT MUNICIPAL ,RGC,38,4,,2,200,200,200,L,N,0,,21540
CIRCULAR PER UN TÚNEL URBÀ AMB UN VEHICLE DE MOBILITAT PERSONAL (VMP) ,RGC,38,4,,3,200,200,200,L,N,0,,21593
CIRCULAR AMB EL VEHICLE RESSENYAT DINTRE DELS ITINERARIS I TERMINIS OBJECTE DE LES RESTRICCIONS IMPOSADES PER L'AUTORITAT COMPETENT,RGC,39,2,,1,200,200,200,L,N,0,,18633
INCOMPLIR LES RESTRICCIONS TEMPORALS A LA CIRCULACIÓ IMPO SADES PELS AGENTS ENCARREGATS DE LA VIGILÀNCIA DEL TRÀNSIT PER ACONSEGUIR MAJOR FLUÏDESA I SEGURETAT EN LA CIRCULACIÓ,RGC,39,4,,2,200,200,200,L,N,4,,13642
INCOMPLIR LES CONDICIONS DE L'AUTORITZACIÓ ESPECIAL QUE L'EM PARA PER A PODER CIRCULAR DINTRE D'ITINERARIS I TERMINIS SUB JECTES A RESTRICCIÓ.,RGC,39,5,,2,500,500,500,L,N,0,,5731
CIRCULAR PER UN CARRIL REVERSIBLE AMB ELS LLUMS DE CURT ABAST O D'ENCREUAMENT APAGATS. ,RGC,40,1,,2,200,200,200,L,N,0,,13586
CIRCULAR PER UN CARRIL REVERSIBLE EN SENTIT CONTRARI A L'ESTIPULAT ,RGC,40,2,,1,500,500,500,L,N,6,,8277
CIRCULAR PER UN CARRIL HABILITAT EN SENTIT CONTRARI A L'HA BITUAL AMB LES LLUMS DE CURT ABAST O D'ENCREUAMENT APA GATS.,RGC,41,1,,1,200,200,200,L,N,0,,5737
CIRCULAR PER UN CARRIL DESTINAT AL SENTIT NORMAL DE LA CIR CULACIÓ CONTIGU A UN CARRIL HABILITAT PER A LA CIRCULACIÓ EN SENTIT CONTRARI AMB ELS LLUMS APAGATS.,RGC,41,1,,2,200,200,200,L,N,0,,5738
CIRCULAR PER UN CARRIL DESTINAT AL SENTIT NORMAL DE LA CIR CULACIÓ CONTIGU A UN CARRIL HABILITAT PER A LA CIRCULACIÓ EN SENTIT CONTRARI A VELOCITAT INFERIOR A L'ESTABLERTA,RGC,41,1,,8,200,200,200,L,N,0,,5805
CIRCULAR AMB UN VEHICLE NO AUTORITZAT REGLAMENTARIAMENT PER UN CARRIL HABILITAT PER A LA CIRCULACIÓ EN SENTIT CONTRARI A L'HABITUAL DEGUDAMENT SENYALITZAT,RGC,41,1,,12,200,200,200,L,N,0,,13643
"DESPLAÇAR-SE LATERALMENT DES D'UN CARRIL HABILITAT PER A LA CIRCULACIÓ EN SENTIT CONTRARI A L'HABITUAL, ENVAINT EL CA RRIL CONTIGU DESTINAT AL SENTIT NORMAL DE LA CIRCULACIÓ.",RGC,41,1,,13,200,200,200,L,N,0,,13644
"DESPLAÇAR-SE LATERALMENT DES D'UN CARRIL DESTINAT AL SEN TIT NORMAL DE LA CIRCULACIÓ, ENVAINT EL CARRIL CONTIGU HABI LITAT PER A LA CIRCULACIÓ EN SENTIT CONTRARI A L'HABITUAL.",RGC,41,1,,14,200,200,200,L,N,0,,13645
CIRCULAR PER UN CARRIL ADDICIONAL DE CIRCULACIÓ AMB ELS LLUMS DE CURT ABAST O D'ENCREUAMENT APAGATS. ,RGC,42,1,,1,200,200,200,L,N,0,,5739
"CIRCULAR EN SENTIT CONTRARI AL QUE ESTÀ ESTIPULAT EN UNA VIA DE DOBLE SENTIT DE CIRCULACIÓ, ON HI HA UN REFUGI, UNA ILLA O UN DISPOSITIU DE GUIA.",RGC,43,1,,1,500,500,500,L,N,6,,5806
"CIRCULAR EN SENTIT CONTRARI AL QUE ESTÀ ESTIPULAT PER UNA PLAÇA, UNA GLORIETA O EN UNA CONFLUÈNCIA DE VIES. ",RGC,43,2,,1,500,500,500,L,N,6,,5807
"CIRCULAR AMB UN VMP EN SENTIT CONTRARI AL QUE ESTÀ ESTIPULAT PER UNA PLAÇA, UNA GLORIETA O EN UNA CONFLUÈNCIA DE VIES. ",RGC,43,2,,2,500,500,500,L,N,0,,24301
CIRCULAR EN SENTIT CONTRARI A L'ESTIPULAT EN VIA DIVIDIDA EN MÉS D'UNA CALÇADA ,RGC,44,1,,3,500,500,500,L,N,6,,13647
CIRCULAR SENSE ADEQUAR SUFICIENTMENT LA VELOCITAT A LES CARACTERÍSTIQUES DE LA VIA ,RGC,45,,,2,200,200,200,L,N,0,,24711
"CIRCULAR AMB UN VEHICLE SENSE MODERAR LA VELOCITAT I, EN EL SEU CAS, DETENIR-SE, QUAN LES CIRCUMSTÀNCIES HO EXIGEIXEN ",RGC,46,1,,1,200,200,200,L,N,0,,6165
CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN HI HA VIA NANTS A LA PART DE LA VIA QUE EL VEHICLE ESTÀ UTILITZANT O QUAN ES POT PREVEURE RACIONALMENT QUE HI IRROMPRAN,RGC,46,1,,2,200,200,200,L,N,0,,24486
"CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN HI HA NENS, GENT GRAN, INVIDENTS O ALTRES PERSONES DISCAPACITADES A LA PART DE LA VIA QUE EL VEHICLE ESTÀ UTILITZANT",RGC,46,1,,3,200,200,200,L,N,0,,24487
"CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN ES POT PREVEURE RACIONALMENT QUE IRROMPRAN A LA VIA NENS, GENT GRAN, INVIDENTS O ALTRES PERSONES AMB DISCAPACITAT",RGC,46,1,,4,200,200,200,L,N,0,,24488
CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ACOSTAR-SE A CICLES CIRCULANT ,RGC,46,1,,5,200,200,200,L,N,0,,24489
CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN LES INTER SECCIONS ,RGC,46,1,,6,200,200,200,L,N,0,,24490
CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN LES PROXI MITATS DE VIES D'ÚS EXCLUSIU DE CICLES ,RGC,46,1,,7,200,200,200,L,N,0,,24491
CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ACOSTAR-SE A UN PAS DE VIANANTS NO REGULAT PER SEMÀFOR O PER UN AGENT DE CIRCULACIÓ,RGC,46,1,,8,200,200,200,L,N,0,,24492
"CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ACOSTAR-SE A UN MERCAT, CENTRE DOCENT O A UN LLOC ON SIGUI PREVISIBLE LA PRESÈNCIA DE NENS",RGC,46,1,,9,200,200,200,L,N,0,,24493
CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN HI HA ANIMALS A LA PART DE LA VIA QUE EL VEHICLE ESTÀ UTILITZANT O QUAN ES POT PREVEURE RACIONALMENT QUE IRROMPRAN,RGC,46,1,,10,200,200,200,L,N,0,,24494
CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ELS TRAMS AMB EDIFICIS DE INMEDIAT ACCÉS A LA PART DE LA VIA QUE S'ESTÀ UTILITZANT,RGC,46,1,,11,200,200,200,L,N,0,,24495
CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ACOSTAR-SE A UN AUTOBÚS EN SITUACIÓ DE PARADA ,RGC,46,1,,12,200,200,200,L,N,0,,24496
"CIRCULAR SENSE MODERAR PROU LA VELOCITAT, PROJECTANT GRAVETA A LA RESTA D'USUARIS DE LA VIA ",RGC,46,1,,13,200,200,200,L,N,0,,24497
CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN HI HA PAVIMENT LLISCANT ,RGC,46,1,,14,200,200,200,L,N,0,,24498
CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN PUGUI ESQUITXAR-SE O PROJECTAR-SE AIGUA ALS ALTRES USUARIS DE LA VIA,RGC,46,1,,15,200,200,200,L,N,0,,24499
"CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ACOSTAR-SE A UN PAS A NIVELL, A UNA GLORIETA O A UNA INTERSECCIÓ EN QUÈ NO ES TÉ PRIORITAT",RGC,46,1,,16,200,200,200,L,N,0,,24500
CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ACOSTAR-SE A UN LLOC DE VISIBILITAT REDUÏDA O A UN ESTRETALL DE LA VIA ,RGC,46,1,,17,200,200,200,L,N,0,,24501
CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN LES CIRCUMS TÀNCIES DE LA VIA O DELS VEHICLES NO PERMETIN REALITZAR L'ENCREUAMENT AMB UN ALTRE VEHICLE AMB SEGURETAT,RGC,46,1,,18,200,200,200,L,N,0,,24502
CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN LES CIRCUMSTÀNCIES METEREOLÒGIQUES O AMBIENTALS NO PERMETIN L'ENCREUAMENT AMB UN ALTRE VEHICLE AMB SEGURETAT,RGC,46,1,,19,200,200,200,L,N,0,,24503
CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN CAS D'ENLLUERNAMENT ,RGC,46,1,,20,200,200,200,L,N,0,,24504
"CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ELS CASOS DE BOIRA DENSA, PLUJA INTENSA, NEVADA O NÚVOLS DE POLS O FUM ",RGC,46,1,,21,200,200,200,L,N,0,,24505
"CIRCULAR A UNA VELOCITAT ANORMALMENT REDUÏDA, SENSE CAUSA JUSTIFICADA, ENTORPINT LA MARXA D'UN ALTRE VEHICLE ",RGC,49,1,,1,200,200,200,L,N,0,,8211
"CIRCULAR ENTRE 31 I 50 KM/H, ESTANT LIMITADA LA VELOCITAT A 30 KM/H ",RGC,50,1,,12,100,100,100,L,N,0,6,13088
"CIRCULAR ENTRE 51 I 60 KM/H, ESTANT LIMITADA LA VELOCITAT A 30 KM/H ",RGC,50,1,,13,300,300,300,L,N,2,6,13089
"CIRCULAR ENTRE 61 I 70 KM/H, ESTANT LIMITADA LA VELOCITAT A 30 KM/H ",RGC,50,1,,14,400,400,400,L,N,4,6,13090
"CIRCULAR ENTRE 71 I 80 KM/H, ESTANT LIMITADA LA VELOCITAT A 30 KM/H ",RGC,50,1,,15,500,500,500,L,N,6,6,13091
