Descripció,Norm,Art,Ap,Sub,Nº,Imp. mín.,Imp. màx.,Import,Bo,Ex,Punts,Esp.,Seq.
CONDUIR SENSE LA PRECAUCIÓ NECESSÀRIA DAVANT LA PROXIMITAT D'ALTRES USUARIS DE LA VIA ,RGC,17,1,,1,6,100,90,L,N,0,,5794
"CONDUIR SENSE ESPECIAL PRECAUCIÓ DAVANT LA PROXIMITAT DE NENS, PERSONES DE LA TERCERA EDAT, INVIDENTS O AMB DISCAPACITAT",RGC,17,1,,2,6,100,90,L,N,0,,5795
CIRCULAR AMB UN VEHICLE UTILITZANT PANTALLES VISUALS IN COMPATIBLES AMB L'ATENCIÓ PERMANENT A LA CONDUCCIÓ. ,RGC,18,1,,1,200,200,200,L,N,3,,5692
CONDUIR UN VEHICLE SENSE MANTENIR LA PRÒPIA LLIBERTAT DE MOVIMENTS ,RGC,18,1,,2,6,100,90,L,N,0,,5796
CONDUIR UN VEHICLE SENSE MANTENIR EL CAMP NECESSARI DE VISIÓ ,RGC,18,1,,3,6,100,90,L,N,0,,5797
CONDUIR UN VEHICLE SENSE MANTENIR L'ATENCIÓ PERMANENT A LA CONDUCCIÓ ,RGC,18,1,,4,6,100,90,L,N,0,,5798
"CONDUIR UN VEHICLE SENSE MANTENIR LA POSICIÓ ADEQUADA O SEN- SE FER-LA MATENIR ALS PASSATGERS, O COL.LOCANT ELS OBJECTES O ELS ANIMALS DE MANERA QUE INTERFEREIXEN LA CONDUCCIÓ",RGC,18,1,,5,6,100,90,L,N,0,,5799
CONDUIR UTILITZANT DISPOSITIUS DE TELEFONIA MÒBIL O QUALSE VOL ALTRE SISTEMA DE COMUNICACIÓ QUE REQUEREIX INTERVEN CIÓ MANUAL DEL CONDUCTOR,RGC,18,2,,1,200,200,200,L,N,3,,5569
CONDUIR UTILITZANT CASCOS O AURICULARS CONNECTATS A APA RELLS RECEPTORS O REPRODUCTORS DE SO. ,RGC,18,2,,2,200,200,200,L,N,3,,5697
CONDUIR UNA BICICLETA UTILITZANT DISPOSITIUS DE TELEFONIA MÒBIL O QUALSEVOL ALTRE SISTEMA DE COMUNICACIÓ QUE REQUEREIX INTERVENCIÓ MANUAL DEL CONDUCTOR,RGC,18,2,,3,200,200,200,L,N,0,,15259
CONDUIR UNA BICICLETA UTILITZANT CASCOS O AURICULARS CONNECTATS A APARELLS RECEPTORS O REPRODUCTORS DE SO ,RGC,18,2,,4,200,200,200,L,N,0,,16047
CONDUIR UN VMP UTILITZANT DISPOSITIUS DE TELEFONIA MÒBIL O QUALSEVOL ALTRE SISTEMA DE COMUNICACIÓ QUE REQUEREIX INTERVENCIÓ MANUAL DEL CONDUCTOR,RGC,18,2,,7,200,200,200,L,N,0,,19630
CONDUIR UN VMP UTILITZANT CASCOS O AURICULARS CONNECTATS A APARELLS RECEPTORS O REPRODUCTORS DE SO ,RGC,18,2,,8,200,200,200,L,N,0,,19631
EMETRE O FER SENYALS DE FORMA ENCAMINADA A ELUDIR LA VIGILÀNCIA DELS AGENTS DE TRÀNSIT ,RGC,18,3,,4,200,200,200,L,N,0,,20921
"CIRCULAR AMB UN VEHICLE, LA SUPERFÍCIE DE CRISTALL DEL QUAL NO PERMET AL SEU CONDUCTOR LA VISIBILITAT DIÀFANA SOBRE TOTA LA VIA, PER LA COL.LOCACIÓ DE LÀMINES O ADHESIUS",RGC,19,1,,1,200,200,200,L,N,0,,9311
COL.LOCAR EN UN VEHICLE VIDRES FUMATS O ACOLORITS NO HOMOLOGATS ,RGC,19,2,,1,200,200,200,L,N,0,,10732
"CONDUIR UNA BICICLETA AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,25 FINS A 0,50 MIL.LIGRAMS PER LITRE ",RGC,20,1,,41,500,"1.000,00",500,C,N,0,8,24608
"CONDUIR UN VMP AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,25 FINS A 0,50 MIL.LIGRAMS PER LITRE ",RGC,20,1,,42,500,"1.000,00",500,L,N,0,8,24609
"CONDUIR UN VMP (VEHICLE DE MOBILITAT PERSONAL) AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,50 MIL.LIGRAMS PER LITRE",RGC,20,1,,43,"1.000,00","1.000,00","1.000,00",L,N,0,9,24610
CONDUIR UN VMP AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 1 GRAM PER LITRE ,RGC,20,1,,44,"1.000,00","1.000,00","1.000,00",L,N,0,9,24611
"CONDUIR UNA BICICLETA AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,50 MIL.LIGRAMS PER LITRE ",RGC,20,1,,45,"1.000,00","1.000,00","1.000,00",L,N,0,9,24612
"CONDUIR UN VEHICLE AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,5 FINS 1 GRAM PER LITRE ",RGC,20,1,,1,500,"1.000,00",500,L,N,4,8,5652
"CONDUIR UN VEHICLE AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,25 FINS 0,50 MIL.LIGRAMS PER LITRE ",RGC,20,1,,2,500,"1.000,00",500,L,N,4,8,5653
"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES AMB MMA SUPERIOR A 3.500 KGS. AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE",RGC,20,1,,3,500,"1.000,00",500,L,N,4,8,5654
